overall_rank,player_id,player_name,position,team_name,goals,assists,rating,performance_score,impact_score,cluster,cluster_name
1,194165,Harry Kane,Striker,Bayern München,73.0,8.0,7.622857142857143,27.31142857142857,100.0,0,Elite / Top Performers
2,30981,Lionel Messi,Striker,Inter Miami CF,48.0,34.0,8.223636363636365,25.311818181818182,92.68,0,Elite / Top Performers
3,701154,Kylian Mbappé,Striker,Real Madrid,60.0,14.0,7.914285714285715,24.757142857142856,90.65,0,Elite / Top Performers
4,737066,Erling Haaland,Striker,Manchester City,59.0,11.0,7.3426470588235295,23.571323529411764,86.31,0,Elite / Top Performers
5,1029063,Michael Olise,Right Winger,Bayern München,25.0,34.0,7.778571428571428,18.18928571428572,66.6,0,Elite / Top Performers
6,792303,Luis Suárez,Striker,Sporting CP,43.0,9.0,6.825,18.1125,66.32,0,Elite / Top Performers
7,408987,Ivan Toney,Striker,Al Ahli,42.0,11.0,6.2548387096774185,17.927419354838708,65.64,0,Elite / Top Performers
8,860914,Luis Díaz,Left Winger,Bayern München,30.0,25.0,7.689999999999999,17.845,65.34,0,Elite / Top Performers
9,30893,Cristiano Ronaldo,Striker,Al Nassr FC,42.0,4.0,7.523076923076924,17.161538461538463,62.84,0,Elite / Top Performers
10,720560,Julián Quiñones,Striker,Al Qadsiah,41.0,5.0,7.466666666666666,17.03333333333333,62.37,0,Elite / Top Performers
11,1467236,Lamine Yamal,Right Winger,Barcelona,29.0,21.0,8.02295081967213,16.911475409836065,61.92,0,Elite / Top Performers
12,794427,Joao Félix,Attacking Midfielder,Al Nassr FC,29.0,21.0,7.501587301587299,16.65079365079365,60.97,0,Elite / Top Performers
13,661519,Deniz Undav,Striker,VfB Stuttgart,31.0,17.0,7.333333333333333,16.366666666666667,59.93,0,Elite / Top Performers
14,846033,Vinícius Júnior,Left Winger,Real Madrid,28.0,14.0,7.492647058823529,14.946323529411766,54.73,0,Elite / Top Performers
15,678234,Mikel Oyarzabal,Striker,Real Sociedad,32.0,9.0,6.849180327868853,14.824590163934428,54.28,0,Elite / Top Performers
16,690230,Lautaro Martínez,Striker,Inter,31.0,11.0,6.464062500000001,14.73203125,53.94,0,Elite / Top Performers
17,692984,Ousmane Dembélé,Striker,Paris Saint-Germain,26.0,14.0,6.969090909090908,14.084545454545454,51.57,0,Elite / Top Performers
18,1180288,Ismael Saibari,Attacking Midfielder,Bayern München,28.0,9.0,7.306666666666667,13.853333333333335,50.72,0,Elite / Top Performers
19,422685,Bruno Fernandes,Attacking Midfielder,Manchester United,16.0,26.0,7.452727272727272,13.726363636363637,50.26,0,Elite / Top Performers
20,942393,Ayase Ueda,Striker,Feyenoord,32.0,3.0,6.772222222222221,13.58611111111111,49.75,0,Elite / Top Performers
21,212867,Heung-Min Son,Striker,Los Angeles FC,20.0,19.0,7.450980392156862,13.525490196078431,49.52,0,Elite / Top Performers
22,613792,Akram Afif,Left Winger,Al-Sadd,19.0,20.0,7.199999999999999,13.3,48.7,0,Elite / Top Performers
23,438647,Giorgian de Arrascaeta,Attacking Midfielder,Flamengo,21.0,15.0,7.153448275862069,12.876724137931037,47.15,0,Elite / Top Performers
24,771294,Ismaïla Sarr,Attacking Midfielder,Crystal Palace,28.0,5.0,6.6890625,12.74453125,46.66,0,Elite / Top Performers
25,303339,Sadio Mané,Left Midfielder,Al Nassr FC,21.0,13.0,7.414035087719299,12.60701754385965,46.16,0,Elite / Top Performers
26,1216079,José Manuel López,Striker,Palmeiras,22.0,14.0,6.055714285714286,12.427857142857142,45.5,0,Elite / Top Performers
27,664500,Viktor Gyökeres,Striker,Arsenal,27.0,6.0,6.214285714285714,12.407142857142858,45.43,0,Elite / Top Performers
28,884382,Ayoub El Kaabi,Striker,Olympiacos,29.0,4.0,5.662686567164179,12.33134328358209,45.15,0,Elite / Top Performers
29,982677,Folarin Balogun,Striker,Monaco,27.0,4.0,6.645901639344263,12.222950819672132,44.75,0,Elite / Top Performers
30,974753,Julián Álvarez,Striker,Atletico Madrid,23.0,10.0,6.527142857142858,12.163571428571428,44.54,0,Elite / Top Performers
31,292462,Mohamed Salah,Right Winger,,21.0,13.0,6.275,12.0375,44.07,0,Elite / Top Performers
32,1302005,Igor Thiago,Striker,Brentford,28.0,2.0,6.4490566037735855,12.024528301886791,44.03,0,Elite / Top Performers
33,881771,Ferran Torres,Striker,Barcelona,25.0,7.0,6.174285714285714,11.987142857142858,43.89,0,Elite / Top Performers
34,660301,Donyell Malen,Striker,Roma,26.0,6.0,5.843478260869565,11.921739130434784,43.65,0,Elite / Top Performers
35,806552,Cody Gakpo,Left Winger,Liverpool,21.0,10.0,7.033333333333333,11.816666666666666,43.27,0,Elite / Top Performers
36,696679,Raphinha,Left Winger,Barcelona,22.0,9.0,6.672916666666667,11.736458333333331,42.97,0,Elite / Top Performers
37,278343,Riyad Mahrez,Right Winger,Al Ahli,16.0,17.0,7.051562499999999,11.72578125,42.93,0,Elite / Top Performers
38,619513,Eldor Shomurodov,Attacking Midfielder,Başakşehir,24.0,6.0,6.496226415094339,11.64811320754717,42.65,0,Elite / Top Performers
39,890232,Baris Alper Yilmaz,Left Winger,Galatasaray,18.0,15.0,6.490476190476191,11.645238095238096,42.64,0,Elite / Top Performers
