player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur
1057426,Armin Gigovic,Bosnia and Herzegovina,10106,2002-04-06,defensive midfielder,10192.0,Young Boys,187.0,right,1950982.0
1174844,Jovo Lukic,Bosnia and Herzegovina,10106,1998-11-28,striker,89022.0,Universitatea Cluj,190.0,left,959713.0
1179875,Ivan Basic,Bosnia and Herzegovina,10106,2002-04-30,central midfielder,166865.0,FC Astana,178.0,left,724785.0
1250485,Tarik Muharemovic,Bosnia and Herzegovina,10106,2003-02-28,center back,8463.0,Leeds United,187.0,left,17870981.0
1284492,Samed Bazdar,Bosnia and Herzegovina,10106,2004-01-31,striker,8394.0,Real Zaragoza,186.0,right,1251348.0
1300385,Amar Memic,Bosnia and Herzegovina,10106,2001-01-20,right wing-back,6033.0,Viktoria Plzen,176.0,right,2549448.0
1346860,Esmir Bajraktarevic,Bosnia and Herzegovina,10106,2005-03-10,right winger,8640.0,PSV Eindhoven,175.0,left,5515112.0
1415104,Benjamin Tahirovic,Bosnia and Herzegovina,10106,2003-03-03,central midfielder,8595.0,Brøndby IF,191.0,right,3975390.0
1515122,Arjan Malic,Bosnia and Herzegovina,10106,2005-08-28,right back,10014.0,Sturm Graz,186.0,right,1671096.0
1528815,Ermin Mahmic,Bosnia and Herzegovina,10106,2005-03-14,attacking midfielder,10245.0,Slovan Liberec,182.0,right,1390706.0
15403,Edin Dzeko,Bosnia and Herzegovina,10106,1986-03-17,striker,,Unknown,193.0,both,990541.0
1684401,Kerim Alajbegovic,Bosnia and Herzegovina,10106,2007-09-21,left winger,8178.0,Bayer Leverkusen,185.0,left,13792183.0
1726288,Mladen Jurkas,Bosnia and Herzegovina,10106,2007-10-07,keeper,10116.0,Borac Banja Luka,193.0,right,
304345,Sead Kolasinac,Bosnia and Herzegovina,10106,1993-06-20,center back,8524.0,Atalanta,183.0,left,2634142.0
388903,Haris Tabakovic,Bosnia and Herzegovina,10106,1994-06-20,striker,10013.0,Salzburg,196.0,right,2192417.0
466867,Nikola Vasilj,Bosnia and Herzegovina,10106,1995-12-02,keeper,8152.0,St. Pauli,194.0,right,2276621.0
