player_id,player_name,country,country_id,birth_date_utc,primary_position,club_id,club_name,height_cm,preferred_foot,transfer_value_eur,age,detail_name,positionId,usualPlayingPositionId,shirtNumber,market_value_eur,rating,goals,assists,red_cards,yellow_cards,detail_height_cm,detail_birth_date,detail_transfer_value_eur,season_goals,season_rating,season_assists,player_of_the_match,isCaptain
1057426,Armin Gigovic,Bosnia and Herzegovina,10106,2002-04-06,defensive midfielder,10192.0,Young Boys,187.0,right,1950982.0,24.0,Armin Gigovic,73.0,2.0,8,1950982.0,,,,,,,,,,,,,
1174844,Jovo Lukic,Bosnia and Herzegovina,10106,1998-11-28,striker,89022.0,Universitatea Cluj,190.0,left,959713.0,27.0,Jovo Lukic,,3.0,25,959713.0,,,,,,,,,,,,,
1179875,Ivan Basic,Bosnia and Herzegovina,10106,2002-04-30,central midfielder,166865.0,FC Astana,178.0,left,724785.0,24.0,Ivan Basic,,2.0,13,724785.0,,,,,,,,,,,,,
1250485,Tarik Muharemovic,Bosnia and Herzegovina,10106,2003-02-28,center back,8463.0,Leeds United,187.0,left,17870981.0,23.0,Tarik Muharemovic,35.0,1.0,4,17870981.0,,,,,,,,,,,,,
1284492,Samed Bazdar,Bosnia and Herzegovina,10106,2004-01-31,striker,8394.0,Real Zaragoza,186.0,right,1251348.0,22.0,Samed Bazdar,,3.0,9,1251348.0,,,,,,,,,,,,,
1300385,Amar Memic,Bosnia and Herzegovina,10106,2001-01-20,right wing-back,6033.0,Viktoria Plzen,176.0,right,2549448.0,25.0,Amar Memic,,2.0,15,2549448.0,,,,,,,,,,,,,
1346860,Esmir Bajraktarevic,Bosnia and Herzegovina,10106,2005-03-10,right winger,8640.0,PSV Eindhoven,175.0,left,5515112.0,21.0,Esmir Bajraktarevic,,3.0,20,5515112.0,,,,,,,,,,,,,
1415104,Benjamin Tahirovic,Bosnia and Herzegovina,10106,2003-03-03,central midfielder,8595.0,Brøndby IF,191.0,right,3975390.0,23.0,Benjamin Tahirovic,,2.0,6,3975390.0,,,,,,,,,,,,,
1515122,Arjan Malic,Bosnia and Herzegovina,10106,2005-08-28,right back,10014.0,Sturm Graz,186.0,right,1671096.0,20.0,Arjan Malic,,1.0,24,1671096.0,,,,,,,,,,,,,
1528815,Ermin Mahmic,Bosnia and Herzegovina,10106,2005-03-14,attacking midfielder,10245.0,Slovan Liberec,182.0,right,1390706.0,21.0,Ermin Mahmic,,2.0,26,1390706.0,,,,,,,,,,,,,
15403,Edin Dzeko,Bosnia and Herzegovina,10106,1986-03-17,striker,,Unknown,193.0,both,990541.0,40.0,Edin Dzeko,104.0,3.0,11,990541.0,,,,,,,,,,,,,True
1684401,Kerim Alajbegovic,Bosnia and Herzegovina,10106,2007-09-21,left winger,8178.0,Bayer Leverkusen,185.0,left,13792183.0,18.0,Kerim Alajbegovic,77.0,3.0,19,13792183.0,,,,,,,,,,,,,
1726288,Mladen Jurkas,Bosnia and Herzegovina,10106,2007-10-07,keeper,10116.0,Borac Banja Luka,193.0,right,,18.0,Mladen Jurkas,,0.0,12,,,,,,,,,,,,,,
304345,Sead Kolasinac,Bosnia and Herzegovina,10106,1993-06-20,center back,8524.0,Atalanta,183.0,left,2634142.0,33.0,Sead Kolasinac,59.0,1.0,5,2634142.0,,,,,,,,,,,,,
388903,Haris Tabakovic,Bosnia and Herzegovina,10106,1994-06-20,striker,10013.0,Salzburg,196.0,right,2192417.0,32.0,Haris Tabakovic,,3.0,23,2192417.0,,,,,,,,,,,,,
466867,Nikola Vasilj,Bosnia and Herzegovina,10106,1995-12-02,keeper,8152.0,St. Pauli,194.0,right,2276621.0,30.0,Nikola Vasilj,11.0,0.0,1,2276621.0,,,,,,,,,,,,,
541551,Ivan Sunjic,Bosnia and Herzegovina,10106,1996-10-09,defensive midfielder,2137.0,Pafos FC,184.0,right,831449.0,29.0,Ivan Sunjic,75.0,2.0,14,831449.0,,,,,,,,,,,,,
639558,Amir Hadziahmetovic,Bosnia and Herzegovina,10106,1997-03-08,defensive midfielder,10188.0,Beşiktaş,179.0,right,2030424.0,29.0,Amir Hadziahmetovic,,2.0,16,2030424.0,,,,,,,,,,,,,
653982,Stjepan Radeljic,Bosnia and Herzegovina,10106,1997-09-05,center back,10156.0,Dinamo Zagreb,201.0,left,1388098.0,28.0,Stjepan Radeljic,37.0,1.0,21,1388098.0,,,,,,,,,,,,,
660148,Dzenis Burnic,Bosnia and Herzegovina,10106,1998-05-22,central midfielder,8295.0,Karlsruher SC,183.0,left,607801.0,28.0,Dzenis Burnic,,2.0,17,607801.0,,,,,,,,,,,,,
725655,Nikola Katic,Bosnia and Herzegovina,10106,1996-10-10,center back,10189.0,Schalke 04,194.0,right,985683.0,29.0,Nikola Katic,33.0,1.0,18,985683.0,,,,,,,,,,,,,
797797,Dennis Hadzikadunic,Bosnia and Herzegovina,10106,1998-07-09,center back,8705.0,FC Rostov,186.0,right,816156.0,27.0,Dennis Hadzikadunic,,1.0,3,816156.0,,,,,,,,,,,,,
840241,Ermedin Demirovic,Bosnia and Herzegovina,10106,1998-03-25,striker,10269.0,VfB Stuttgart,184.0,right,19671986.0,28.0,Ermedin Demirovic,106.0,3.0,10,19671986.0,,,,,,,,,,,,,
857436,Nihad Mujakic,Bosnia and Herzegovina,10106,1998-04-15,center back,281467.0,Erzurumspor FK,189.0,left,1121576.0,28.0,Nihad Mujakic,,1.0,2,1121576.0,,,,,,,,,,,,,
857661,Martin Zlomislic,Bosnia and Herzegovina,10106,1998-08-16,keeper,7981.0,Qarabag FK,190.0,right,1247096.0,27.0,Martin Zlomislic,,0.0,22,1247096.0,,,,,,,,,,,,,
958010,Amar Dedic,Bosnia and Herzegovina,10106,2002-08-18,right back,9772.0,Benfica,180.0,right,16819758.0,23.0,Amar Dedic,51.0,1.0,7,16819758.0,,,,,,,,,,,,,
1070712,Josko Gvardiol,Croatia,10155,2002-01-23,center back,8456.0,Manchester City,185.0,left,68240274.0,24.0,Josko Gvardiol,,1.0,4,68240274.0,,,,,,,,,,,,,
1077684,Ivor Pandur,Croatia,10155,2000-03-25,keeper,8548.0,Rangers,187.0,right,2390467.0,26.0,Ivor Pandur,,0.0,12,2390467.0,,,,,,,,,,,,,
1186228,Josip Sutalo,Croatia,10155,2000-02-28,center back,8593.0,Ajax,190.0,right,15114820.0,26.0,Josip Sutalo,34.0,1.0,6,15114820.0,,,,,,,,,,,,,
1199714,Marco Pasalic,Croatia,10155,2000-09-14,right midfielder,267810.0,Orlando City,177.0,left,5582824.0,25.0,Marco Pasalic,,2.0,24,5582824.0,,,,,,,,,,,,,
1210893,Igor Matanovic,Croatia,10155,2003-03-31,striker,8358.0,Freiburg,194.0,right,11196113.0,23.0,Igor Matanovic,,3.0,20,11196113.0,,,,,,,,,,,,,
1215064,Martin Baturina,Croatia,10155,2003-02-16,left winger,10171.0,Como,172.0,right,21623619.0,23.0,Martin Baturina,87.0,3.0,16,21623619.0,,,,,,,,,,,,,
1300358,Toni Fruk,Croatia,10155,2001-03-09,attacking midfielder,10162.0,Rijeka,178.0,left,7580516.0,25.0,Toni Fruk,,2.0,19,7580516.0,,,,,,,,,,,,,
1382000,Petar Sucic,Croatia,10155,2003-10-25,central midfielder,8636.0,Inter,183.0,right,31443413.0,22.0,Petar Sucic,85.0,2.0,17,31443413.0,,,,,,,,,,,,,
1413996,Luka Vuskovic,Croatia,10155,2007-02-24,center back,10204.0,Brighton & Hove Albion,193.0,right,35441761.0,19.0,Luka Vuskovic,,1.0,22,35441761.0,,,,,,,,,,,,,
163670,Ivan Perisic,Croatia,10155,1989-02-02,left winger,8640.0,PSV Eindhoven,186.0,both,1024233.0,37.0,Ivan Perisic,38.0,3.0,14,1024233.0,,,,,,,,,1.0,,,,
173461,Andrej Kramaric,Croatia,10155,1991-06-19,attacking midfielder,8226.0,Hoffenheim,177.0,right,2497081.0,35.0,Andrej Kramaric,,2.0,9,2497081.0,,,,,,,,,,,,,
239219,Mateo Kovacic,Croatia,10155,1994-05-06,defensive midfielder,8456.0,Manchester City,178.0,right,10823010.0,32.0,Mateo Kovacic,66.0,2.0,8,10823010.0,,,,,,,,,,,,,
