team_id,team,group_id,group,fifa_rank,rank_last_updated,current_head_coach,head_coach_id
6710,Mexico,894790,Group A,14,2026-06-11,Javier Aguirre,78642
6316,South Africa,894790,Group A,60,2026-06-11,Hugo Broos,179919
7804,South Korea,894790,Group A,25,2026-06-11,,
8496,Czechia,894790,Group A,40,2026-06-11,,
6717,Switzerland,894791,Group B,19,2026-06-11,Murat Yakin,34053
5810,Canada,894791,Group B,30,2026-06-11,Jesse Marsch,69655
10106,Bosnia and Herzegovina,894791,Group B,64,2026-06-11,Sergej Barbarez,27294
5902,Qatar,894791,Group B,56,2026-06-11,Julen Lopetegui,396454
8256,Brazil,894792,Group C,6,2026-06-11,Carlo Ancelotti,78619
6262,Morocco,894792,Group C,7,2026-06-11,Mohamed Ouahbi,1816954
8498,Scotland,894792,Group C,42,2026-06-11,,
5934,Haiti,894792,Group C,83,2026-06-11,Sébastien Migné,878257
6713,USA,894793,Group D,17,2026-06-11,Mauricio Pochettino,37915
6716,Australia,894793,Group D,27,2026-06-11,Tony Popovic,34482
6724,Paraguay,894793,Group D,41,2026-06-11,Gustavo Alfaro,306380
6595,Turkiye,894793,Group D,22,2026-06-11,Vincenzo Montella,30286
8570,Germany,894794,Group E,10,2026-06-11,,
6709,Ivory Coast,894794,Group E,33,2026-06-11,Emerse Faé,30908
6707,Ecuador,894794,Group E,23,2026-06-11,,
287981,Curacao,894794,Group E,82,2026-06-11,Dick Advocaat,78614
6708,Netherlands,894795,Group F,8,2026-06-11,,
6715,Japan,894795,Group F,18,2026-06-11,Hajime Moriyasu,431269
8520,Sweden,894795,Group F,38,2026-06-11,Graham Potter,24347
6719,Tunisia,894795,Group F,45,2026-06-11,Hervé Renard,192145
8263,Belgium,894796,Group G,9,2026-06-11,Rudi Garcia,176580
10255,Egypt,894796,Group G,29,2026-06-11,Hossam Hassan,505814
6711,Iran,894796,Group G,20,2026-06-11,Amir Ghalenoei,504132
5820,New Zealand,894796,Group G,85,2026-06-11,Darren Bazeley,23798
6720,Spain,894797,Group H,2,2026-06-11,Luis de la Fuente,1059866
5888,Cape Verde,894797,Group H,67,2026-06-11,Bubista,1204965
5796,Uruguay,894797,Group H,16,2026-06-11,Marcelo Bielsa,154305
7795,Saudi Arabia,894797,Group H,61,2026-06-11,Georgios Donis,312235
6723,France,894798,Group I,3,2026-06-11,Didier Deschamps,78624
8492,Norway,894798,Group I,31,2026-06-11,Ståle Solbakken,78638
6395,Senegal,894798,Group I,15,2026-06-11,Pape Thiaw,33003
5819,Iraq,894798,Group I,57,2026-06-11,Graham Arnold,147315
6706,Argentina,894799,Group J,1,2026-06-11,Lionel Scaloni,38922
8255,Austria,894799,Group J,24,2026-06-11,Ralf Rangnick,148889
6317,Algeria,894799,Group J,28,2026-06-11,Vladimir Petkovic,191551
5816,Jordan,894799,Group J,63,2026-06-11,Jamal Sellami,1136875
8258,Colombia,894800,Group K,13,2026-06-11,Néstor Lorenzo,1248693
8361,Portugal,894800,Group K,5,2026-06-11,Jorge Jesus,159073
6321,DR Congo,894800,Group K,46,2026-06-11,Sébastien Desabre,535886
8700,Uzbekistan,894800,Group K,50,2026-06-11,Fabio Cannavaro,34520
8491,England,894801,Group L,4,2026-06-11,Thomas Tuchel,179347
10155,Croatia,894801,Group L,11,2026-06-11,Slaven Bilic,78577
6714,Ghana,894801,Group L,73,2026-06-11,Carlos Queiroz,149649
5922,Panama,894801,Group L,34,2026-06-11,Thomas Christiansen,36053
